,Date,Types,Description,Parts
0,2017-12-06,Brakes,Change Brakes,[]
1,2018-02-08,Brakes,Change Brakes,[]
2,2013-12-29,Brakes,Change Brakes,[]
3,2017-07-04,Brakes,Change Brakes,[]
4,2015-04-03,Transmission Fluid,Change the Transmission Fluid,[]
5,2016-06-03,Transmission Fluid,Change the Transmission Fluid,[]
6,2012-01-28,Oil Change,Change the oil on the truck,[]
7,2015-03-12,Oil Change,Change the oil on the truck,[]
8,2012-01-03,Tire Change and Rotation,Change tires,[]
9,2015-08-20,Tire Change and Rotation,Change tires,[]
10,2012-05-19,Tire Change and Rotation,Change tires,[]
11,2015-05-24,Tire Change and Rotation,Change tires,[]
12,2017-05-12,Alignment,Align tires,[]
13,2009-10-17,Brake pad replacement,Replace Brake pads on truck,[]
14,2018-03-29,Brake pad replacement,Replace Brake pads on truck,[]
15,2012-04-03,Brake pad replacement,Replace Brake pads on truck,[]
16,2016-06-30,Replace fan belt,Replace fan belt,[]
17,2015-10-11,Replace fan belt,Replace fan belt,[]
18,2014-08-24,Replace fan belt,Replace fan belt,[]
19,2018-04-16,Tire Change,Change tires,[]
20,2017-09-01,Tire Change,Change tires,[]
21,2013-01-05,Tire Change,Change tires,[]
22,2019-01-22,Tire Change,Change tires,[]
23,2013-06-26,Tire rotation,Tire rotation,[]
24,2018-09-12,Tire rotation,Tire rotation,[]
25,2014-10-26,Tire rotation,Tire rotation,[]
26,2018-12-13,Tire rotation,Tire rotation,[]
